Allele,D22S1045,D5S818,D13S317,D7S820,SE33,D10S1248,D1S1656,D12S391,D2S1338,D3S1358,vWA,D16S539,CSF1PO,TPOX,D8S1179,D21S11,D18S51,D2S441,D19S433,TH01,FGA
5,,,,,,,,,,,,,,,,,,,,0.001661682,
6,,,,,,,,,,,,,,,,,,,,0.220671319,
7,,0.00298904,0.002324809,0.002986065,,,,,,,,0.000664231,0.012616202,,0.00066379,,,,0.000662471,0.269857095,
8,,0.006310196,0.261374958,0.130059721,,,,,,,,0.001992693,0.001328021,0.451312728,,,,0.0026534,,0.064805583,
8.1,,,,,,,,,,,,,,,,,,0.00066335,,,
9,,0.091663899,0.130521421,0.04512276,,,,,,,,0.358020591,0.050464807,0.117979395,0.002987056,,,,,0.395812562,
9.1,,,,0.00066357,,,,,,,,,,,,,,0.03681592,,,
9.2,,,,,,,,,,,,,,,,,,,0.000662471,,
9.3,,,,,,,,,,,,,,,,,,,,0.037886341,
10,,0.204915311,0.11258718,0.225613802,,0.000996347,,,,,,0.200265692,0.215471448,0.033565969,0.128775307,,0.002317114,0.267330017,,0.009305417,
10.1,,,,0.00066357,,,,,,,,,,,,,,0.0026534,,,
10.2,,,,,,,,,,,,,,,,,,,0.001324942,,
10.3,,,,0.000995355,,,,,,,,,,,,,,,,,
11,0.197875166,0.287612089,0.22451013,0.323490378,,0.00298904,0.030493868,,,,,0.186981069,0.206175299,0.356596876,0.106206439,,0.004965243,0.343283582,0.003643591,,
11.1,,,,,,,,,,,,,,,,,,0.00066335,,,
11.2,,,,,,,,,,,,,,,,,,,0.000993707,,
11.3,,,,,,,,,,,,,,,,,,0.022885572,,,
12,0.001660027,0.230156094,0.202258386,0.227936297,,0.089671206,0.041763341,0.000662691,,0.002324037,,0.172035868,0.420982736,0.038218677,0.12313309,,0.046673287,0.169817579,0.044054323,,
12.2,,,,,,,,,,,,,,,,,,,0.004637297,,
13,0.001992032,0.165393557,0.052806377,0.03583278,0.001969796,0.32281634,0.096121975,,,0.001328021,0.000664011,0.069744271,0.06938911,0.001329345,0.225356787,,0.198278716,0.048424544,0.28983107,,
13.2,,,,,,,,,,,,,,,,,,,0.029811196,,
14,0.002656042,0.009631352,0.012620392,0.00597213,0.004267892,0.262371305,0.084521047,0.000994036,,0.026560425,0.194887118,0.008967121,0.017596282,0.000997009,0.207766346,,0.213174446,0.099170813,0.344153693,,
14.1,,,,,0.000984898,,,,,,,,,,,,,,,,
14.2,,,,,0.000656599,,0.00066291,,,,,,,,,,,,0.083140113,,
15,0.310424967,0.001328462,0.000996347,0.00066357,0.01674327,0.224842245,0.230029831,0.017892644,,0.396082337,0.02622842,0.001328462,0.00498008,,0.136408895,,0.163522013,0.004975124,0.053328917,,
15.2,,,,,,,,,,,,,,,,,,,0.11427625,,
